"subtrack_length","mean_displacement","mean_maxdisplacement"
1,271.320411363597,271.320411363597
2,283.683321956817,408.770959257762
3,296.900256441163,541.65912049528
4,300.032876719707,666.857802054181
5,310.365878559447,792.690474413848
6,321.859826443309,920.32841772922
7,334.09478596352,1049.80002664693
8,345.09420042277,1181.08236875917
9,281.300814733031,1237.22667774849
10,290.590784161243,1294.04715429711
11,294.056400451411,1343.65056516638
12,303.625976725382,1393.71349772085
13,314.493317549576,1444.25277503309
14,324.689669963424,1495.43704634158
15,335.450407433056,1547.2860713566
16,345.528463605612,1599.7408911529
17,356.068156546765,1652.88236684332
18,366.139809514063,1706.72255831913
19,376.728252377175,1761.26606669375
20,386.855568260852,1816.56134667656
