"subtrack_length","mean_displacement","mean_maxdisplacement"
1,5.41756297755983,5.41756297755983
2,10.55564530094,10.6354062230293
3,15.7009981073553,15.8159796581907
4,20.822723760743,20.9680613844072
5,25.9207444965629,26.0933162393396
6,30.9960832332065,31.1950770581415
7,36.0415406489069,36.2763224862864
8,41.0565927080551,41.3282378257208
9,46.0412895330673,46.3547103959566
10,50.9995881984345,51.3562602869154
11,55.9268487037386,56.329325389259
12,60.8280807754369,61.2768225177687
13,65.7069341661011,66.2061709147608
14,70.5616080454269,71.1158657995949
15,75.3949534646098,76.0089841681246
16,80.2040493585539,80.8790850895269
17,84.9834530593499,85.7253139122718
18,89.7358929730314,90.5459046192814
19,94.458225826984,95.338655918416
20,99.1504112629211,100.110305210843
