"subtrack_length","mean_displacement","mean_maxdisplacement"
1,1205172404.33028,1205172404.33028
2,1210895012.31196,1816342433.46671
3,1216672219.7399,2433344189.59122
4,1222504780.5448,3056261578.06177
5,1228393561.95281,3685180091.59567
6,1234339340.21569,4320186869.10155
7,1240342957.47344,4961370752.00596
8,1246405259.93182,5608822312.76982
9,1252458759.39043,6262292158.53453
10,1258571341.42441,6922140460.90728
11,632432954.176097,6956150146.45565
12,635549956.290814,6990495069.21533
13,638697835.345041,7025180210.71672
14,641877052.146768,7060210651.45294
15,645088071.346534,7095591567.90373
16,648331370.002715,7131328247.85768
17,651607445.916219,7167426088.65819
18,654916798.346019,7203890592.9585
19,658184441.293636,7239896874.42975
20,661484848.56608,7276264255.99461
