"subtrack_length","mean_displacement","mean_maxdisplacement"
1,4.97991633952427,4.97991633952427
2,9.56711065506297,9.68801601224352
3,14.1618395920052,14.3343464406607
4,18.7043916427787,18.9329502590715
5,23.2212675190571,23.5001463121901
6,27.70016563109,28.0297596726393
7,32.1588369303866,32.5277998210357
8,36.5849940687459,37.0007958774414
9,40.9754992140588,41.4465759935236
10,45.3207142636262,45.8576217347034
11,49.6305337325729,50.2367466823191
12,53.9094163482758,54.5833596614186
13,58.1567054809599,58.903435740331
14,62.3622213821288,63.1870939664988
15,66.5322313321416,67.4343256974219
16,70.6770474412769,71.6616448822516
17,74.7802020540398,75.8536748276775
18,78.8542747067926,80.0193840337215
19,82.8951901051392,84.1586062807405
20,86.9135950399185,88.2750633183765
