"subtrack_length","mean_displacement","mean_maxdisplacement"
1,89.5183511115469,89.5183511115469
2,107.171848824514,140.730883485181
3,114.008772325772,186.919831393934
4,120.795370713885,233.539321180573
5,127.535896823196,280.598721318664
6,124.23311212698,323.055214990413
7,134.76825481254,365.420154028853
8,141.217984307257,408.114200724994
9,147.712848802927,451.202029606771
10,154.108940343972,494.650783639367
11,160.44713292441,538.485736746234
12,166.818305476896,582.766906049997
13,173.161366745301,627.505372832571
14,178.911650110732,672.137790735671
15,179.811321559272,711.842309623971
16,185.94120460914,751.953895327648
17,192.050754707579,792.446322442256
18,192.179994711885,827.387839108406
19,198.113236622812,862.616695333014
20,204.117456532095,898.197386948481
