"subtrack_length","mean_displacement","mean_maxdisplacement"
1,8.45409248561852,8.45409248561852
2,14.9387414368674,15.594505627715
3,21.8984112766329,22.7040801289688
4,28.8473822139257,29.7713021272925
5,35.8319628518105,36.8149437028015
6,42.7735570820038,43.8294888322275
7,49.6870056167163,50.8080293528974
8,56.5464962377519,57.748919861774
9,63.395242971311,64.6603165511219
10,70.2406219958328,71.5576596395422
11,77.0417075160773,78.4131664498217
12,83.8024962576107,85.2305272882925
13,90.4982753229979,92.0031402744614
14,97.1635742309869,98.7454087828149
15,103.792233153224,105.460469124773
16,110.388251698122,112.146735323847
17,116.940336110654,118.795922572781
18,123.47785565286,125.419181489594
19,129.961976033395,131.994651047915
20,136.396448347623,138.529798814747
