"subtrack_length","mean_displacement","mean_maxdisplacement"
1,4.68044181571015,4.68044181571015
2,9.12527171381364,9.18743746412728
3,13.5521383424855,13.6518892124648
4,17.9467617543875,18.0827444978106
5,22.3078953617876,22.4815829557303
6,26.645946068022,26.8517319866767
7,30.9458226939118,31.1930042581822
8,35.2154473472637,35.5066780177924
9,39.4519608199399,39.7890194929196
10,43.6494978377256,44.0393782226795
11,47.8104615892953,48.2586346516006
12,51.9548014723751,52.462160878524
13,56.0659984147805,56.6363023362928
14,60.1508905680722,60.791073569686
15,64.2108030325199,64.9214657027251
16,68.2366256920671,69.0239948914007
17,72.2361138075933,73.1025622141526
18,76.2112043804674,77.1598863548807
19,80.1571365577064,81.1917413625712
20,84.0785576999519,85.2021554494666
