"subtrack_length","mean_displacement","mean_maxdisplacement"
1,8.11759586753068,8.11759586753068
2,15.4510164033856,15.7004449841875
3,22.9850441890316,23.2697065385627
4,30.4211888526519,30.7839355097927
5,37.8816701356667,38.2905749343261
6,45.2944285167299,45.768044515728
7,52.6792813167221,53.2113314976855
8,60.0234160035965,60.6226298748514
9,67.3209287327787,67.9939382260504
10,74.5737672465195,75.3208236862835
11,81.7942907550443,82.6017791951092
12,88.9979381382796,89.8682824576326
13,96.1569396691038,97.0961387288095
14,103.266252532852,104.287471593421
15,110.335740941552,111.437054005298
16,117.35048289326,118.538981059392
17,124.31215701782,125.591824826509
18,131.243305117155,132.614060055476
19,138.144724461097,139.601527568964
20,144.981645385441,146.524173512892
