"subtrack_length","mean_displacement","mean_maxdisplacement"
1,4.70473135795347,4.70473135795347
2,9.20884020530858,9.26067570343123
3,13.7045170197607,13.7852399773976
4,18.1707916613542,18.2805934246535
5,22.6120429071554,22.750168915644
6,27.02996412652,27.1992310037695
7,31.4244472568059,31.625602086914
8,35.7924806786871,36.0298783407149
9,40.1354841361881,40.4112536093554
10,44.4513663142841,44.7706181990585
11,48.7402660597025,49.1062442705595
12,53.0010304618169,53.4178862109451
13,57.2364093135142,57.7057951591811
14,61.4392958651592,61.9674729884441
15,65.6101862292688,66.2013608160654
16,69.7495054034734,70.4095491253859
17,73.8615247431585,74.5935778455165
18,77.9464062995647,78.7517001711503
19,82.0132822054381,82.894887703497
20,86.056266663116,87.0163914778373
