"subtrack_length","mean_displacement","mean_maxdisplacement"
1,17.770435082518,17.770435082518
2,23.0588903931485,28.7632227169939
3,28.2268568267908,39.7061708458842
4,33.2762121317747,50.6303806341907
5,38.2552459340958,61.5675645744998
6,43.2222335388867,72.5512561260231
7,48.0987782002569,83.5434504061006
8,52.9329886931918,94.5903485099835
9,57.7158663820394,105.687752457925
10,62.4504565875781,116.832755636707
11,67.1384777610283,128.038584836712
12,71.7798627763605,139.306601330938
13,76.3820415141438,150.635704258911
14,80.9487746592682,162.030664652259
15,85.4618742877805,173.491642655499
16,89.8975941130493,184.995587303571
17,94.3454339637452,196.593435633228
18,92.4302737446435,201.966690339838
19,96.6608655197988,207.236069063768
20,100.919020455663,212.553880748285
