"subtrack_length","mean_displacement","mean_maxdisplacement"
1,573.059417138754,573.059417138754
2,583.543803860674,865.97535381219
3,593.814936852416,1160.13967145727
4,603.95982188891,1455.64558469011
5,613.837694585632,1752.38902901488
6,623.6511968983,2050.5170633075
7,633.363097730283,2350.03896657262
8,642.994449606537,2650.98787613107
9,652.501109462499,2953.34460630061
10,661.901979278553,3257.09474251378
11,671.192578211721,3562.28134940568
12,680.326046649603,3868.8720566291
13,689.365327981007,4176.90896024969
14,698.318571545836,4486.44153817243
15,707.211087016436,4797.50466448715
16,715.950970334827,5110.03932791535
17,724.55586692246,5424.05205513611
18,733.095293120154,5739.59796624398
19,741.518064969999,6056.69710230202
20,749.941560968463,6375.39290751328
