tframe,y,x,track_no
1,430,1038,1
2,430,1037,1
3,430,1030,1
4,430,1027,1
5,430,1025,1
6,430,1023,1
7,431,1018,1
8,431,1018,1
9,431,1019,1
10,431,1016,1
11,431,1014,1
12,431,1011,1
13,431,1005,1
14,431,1002,1
15,431,996,1
16,431,994,1
17,431,991,1
18,431,988,1
19,431,988,1
20,431,988,1
21,431,985,1
22,431,983,1
23,431,982,1
24,431,981,1
25,431,979,1
26,431,976,1
27,431,973,1
28,431,973,1
29,431,972,1
30,431,971,1
31,431,968,1
32,431,966,1
33,431,966,1
34,431,966,1
35,431,965,1
36,431,963,1
37,431,962,1
38,431,961,1
39,431,960,1
40,431,962,1
41,431,962,1
42,431,962,1
43,431,960,1
44,431,957,1
45,431,956,1
46,431,956,1
47,432,954,1
48,431,952,1
49,431,952,1
50,431,950,1
51,431,947,1
52,431,949,1
53,431,948,1
54,431,946,1
55,431,946,1
56,431,946,1
57,431,944,1
58,431,942,1
59,431,942,1
60,431,942,1
61,431,941,1
62,431,940,1
63,431,940,1
64,431,940,1
65,431,936,1
66,431,935,1
67,431,933,1
68,431,932,1
71,410,1369,1
72,410,1367,1
73,410,1364,1
74,410,1360,1
75,410,1357,1
76,410,1353,1
77,410,1347,1
78,410,1345,1
79,410,1340,1
80,410,1336,1
81,410,1333,1
82,410,1328,1
83,410,1325,1
84,410,1321,1
85,410,1317,1
86,410,1313,1
87,410,1309,1
88,410,1305,1
89,410,1301,1
90,410,1297,1
91,410,1294,1
92,410,1290,1
93,409,1289,1
94,409,1288,1
95,409,1285,1
96,409,1283,1
97,409,1279,1
98,409,1275,1
99,409,1273,1
100,409,1270,1
101,409,1270,1
102,409,1267,1
103,409,1264,1
104,409,1261,1
105,409,1256,1
106,409,1254,1
107,409,1252,1
108,409,1251,1
109,409,1250,1
110,409,1248,1
111,409,1246,1
112,409,1245,1
113,410,1243,1
114,409,1242,1
115,409,1240,1
116,409,1238,1
117,408,1236,1
118,408,1235,1
119,408,1232,1
120,408,1232,1
121,408,1232,1
122,408,1231,1
123,408,1229,1
124,408,1227,1
125,408,1224,1
126,408,1221,1
127,407,1221,1
128,407,1218,1
129,408,1215,1
130,408,1212,1
131,408,1209,1
132,408,1205,1
133,408,1203,1
134,408,1198,1
135,408,1193,1
136,408,1187,1
137,408,1184,1
138,408,1180,1
139,407,1177,1
140,408,1173,1
141,408,1170,1
142,408,1169,1
143,409,1166,1
144,408,1164,1
145,408,1160,1
146,408,1156,1
147,408,1157,1
148,408,1152,1
149,408,1150,1
150,408,1144,1
151,408,1140,1
152,408,1138,1
153,408,1135,1
154,408,1131,1
155,408,1129,1
156,408,14,1
157,409,1121,1
158,409,1118,1
159,409,1111,1
160,409,1104,1
161,409,1102,1
162,409,1096,1
163,409,1093,1
164,409,1090,1
165,409,1087,1
166,409,1083,1
167,409,1081,1
168,408,1077,1
169,408,1073,1
170,408,1070,1
171,408,1069,1
172,408,1064,1
173,408,1060,1
174,408,1057,1
175,409,1054,1
176,408,1052,1
177,408,1048,1
178,408,1045,1
179,408,1044,1
180,408,1045,1
181,408,1044,1
182,408,1044,1
183,408,1043,1
184,407,1043,1
185,408,1045,1
186,408,1044,1
187,408,1044,1
188,408,1044,1
189,408,1045,1
190,408,1045,1
191,408,1046,1
192,408,1045,1
193,408,1046,1
194,408,1044,1
195,408,1045,1
196,408,1041,1
197,408,1041,1
198,408,1040,1
199,408,1037,1
200,408,1033,1
201,408,1029,1
202,408,1019,1
203,408,1013,1
204,408,1009,1
205,408,1002,1
206,408,998,1
207,408,993,1
208,408,992,1
209,408,985,1
210,408,980,1
211,408,976,1
212,407,973,1
213,407,969,1
214,407,965,1
215,407,964,1
216,407,958,1
217,407,954,1
218,407,942,1
219,407,937,1
220,407,935,1
221,407,932,1
222,407,927,1
223,408,926,1
224,407,924,1
225,407,921,1
226,407,918,1
227,407,916,1
228,407,913,1
229,407,905,1
230,407,896,1
231,407,891,1
232,407,883,1
233,407,881,1
234,407,876,1
235,407,873,1
236,407,866,1
237,407,861,1
238,407,856,1
239,407,853,1
240,407,843,1
241,407,835,1
242,408,829,1
243,408,824,1
244,408,818,1
245,408,813,1
246,408,807,1
247,408,802,1
248,408,793,1
249,408,785,1
250,408,781,1
251,407,779,1
252,407,776,1
253,407,773,1
254,407,766,1
255,407,761,1
256,407,756,1
257,407,747,1
258,408,742,1
259,408,739,1
260,407,734,1
261,407,733,1
262,407,729,1
263,407,726,1
264,407,720,1
265,407,718,1
266,408,720,1
267,408,717,1
268,408,714,1
269,407,710,1
270,407,706,1
271,407,702,1
272,407,699,1
273,407,696,1
274,407,692,1
275,407,690,1
276,407,688,1
277,407,683,1
278,408,680,1
279,408,674,1
280,407,669,1
281,407,669,1
282,407,665,1
283,407,664,1
284,407,656,1
285,407,651,1
286,407,644,1
287,407,642,1
288,408,636,1
289,408,631,1
290,408,628,1
291,408,624,1
292,408,621,1
293,408,618,1
294,408,616,1
295,408,614,1
296,409,609,1
297,409,605,1
298,409,600,1
299,408,596,1
300,408,590,1
301,408,588,1
302,408,584,1
303,408,581,1
304,408,579,1
305,408,576,1
306,408,576,1
307,408,570,1
308,408,566,1
309,408,563,1
310,408,559,1
311,408,558,1
312,408,554,1
313,408,551,1
314,406,548,1
315,407,547,1
316,407,545,1
317,407,542,1
318,407,535,1
319,407,531,1
320,407,532,1
321,407,529,1
322,407,524,1
323,407,521,1
324,407,517,1
325,407,505,1
326,407,502,1
1,402,1375,2
2,402,1370,2
5,1075,1372,2
6,1075,1368,2
7,1075,1363,2
8,1075,1359,2
9,1076,1353,2
10,1075,1349,2
11,1075,1347,2
12,1075,1344,2
13,1075,1344,2
14,1075,1339,2
15,1075,1338,2
16,1075,1337,2
17,1075,1336,2
18,1075,1335,2
19,1075,1332,2
20,1075,1331,2
21,1075,1329,2
22,1075,1328,2
23,1075,1323,2
24,1075,1321,2
25,1075,1319,2
26,1075,1317,2
27,1075,1315,2
28,1075,1311,2
29,1075,131075,2
30,1075,1307,2
31,1075,1303,2
32,1075,1297,2
33,1075,1295,2
34,1075,1291,2
35,1075,1288,2
36,1075,1287,2
37,1075,1284,2
38,1075,1284,2
39,1075,1282,2
40,1075,1277,2
41,1075,1274,2
42,1075,1273,2
43,1075,1273,2
44,1075,1271,2
45,1075,1271,2
46,1075,1269,2
47,1075,1268,2
48,1075,1266,2
49,1075,1265,2
50,1073,1263,2
51,1074,1262,2
52,1073,1261,2
53,1073,1259,2
54,1073,1259,2
55,1073,1257,2
56,1073,1255,2
57,1073,1255,2
58,1073,1255,2
59,1073,1255,2
60,1073,1251,2
61,1073,1246,2
62,1073,1245,2
63,1072,1245,2
64,1072,1242,2
65,1073,1240,2
66,1073,1240,2
67,1073,1237,2
68,1073,1233,2
69,1073,1231,2
70,1073,1229,2
71,1073,1226,2
72,1072,1221,2
73,1073,1221,2
74,1073,1220,2
75,1073,1217,2
76,1073,1217,2
77,1073,1217,2
78,1073,1217,2
79,1073,1213,2
80,1073,1209,2
81,1073,1205,2
82,1073,1205,2
83,1072,1205,2
84,1073,1201,2
85,1073,1201,2
86,1073,1195,2
87,1073,1195,2
88,1073,1195,2
89,1072,1195,2
90,1073,1195,2
91,1073,1197,2
92,1073,1201,2
93,1073,1201,2
94,1073,1201,2
95,1073,1201,2
96,1074,1201,2
97,1073,1201,2
98,1073,1201,2
99,1073,1201,2
100,1072,1201,2
101,1073,1201,2
102,1073,1195,2
103,1073,1201,2
104,1073,1201,2
105,1073,1201,2
106,1074,1197,2
107,1074,1195,2
108,1073,1197,2
109,1073,1195,2
110,1073,1191,2
111,1073,1197,2
112,1073,1196,2
113,1073,1191,2
114,1073,1187,2
115,1073,1185,2
116,1073,1181,2
117,1073,1175,2
118,1073,1177,2
119,1072,1176,2
120,1073,1173,2
121,1073,1171,2
122,1073,1169,2
123,1073,1167,2
124,1073,1164,2
125,1073,1162,2
126,1073,1157,2
127,1073,1152,2
128,1073,1156,2
129,1073,1155,2
130,1073,1148,2
131,1073,1146,2
132,1073,1144,2
133,1073,1142,2
134,1074,1139,2
135,1072,1135,2
136,1073,1133,2
137,1073,1129,2
138,1073,1129,2
139,1073,1127,2
140,1073,1131,2
141,1073,1127,2
142,1073,1119,2
143,1073,1115,2
144,1073,1113,2
145,1073,1111,2
146,1073,1109,2
147,1073,1109,2
148,1073,1100,2
149,1073,1093,2
150,1073,1091,2
151,1073,1087,2
152,1073,1084,2
153,1073,1081,2
154,1073,1076,2
155,1073,1074,2
156,1072,1069,2
157,1072,1065,2
158,1073,1061,2
159,1073,1056,2
160,1073,1052,2
161,1073,1049,2
162,1073,1045,2
163,1073,1041,2
164,1073,1040,2
165,1073,1039,2
166,1073,1034,2
167,1073,1033,2
168,1073,1028,2
169,1073,1027,2
170,1074,1019,2
171,1073,1019,2
172,1074,1013,2
173,1073,1001,2
174,1073,997,2
175,1073,992,2
176,1074,985,2
177,1073,981,2
178,1073,977,2
179,1073,971,2
180,1073,971,2
181,1073,969,2
182,1073,965,2
183,1073,959,2
184,1073,953,2
185,1072,946,2
186,1072,942,2
187,1072,933,2
188,1072,930,2
189,1072,925,2
190,1073,920,2
191,1073,907,2
192,1073,903,2
193,1072,895,2
194,1072,890,2
195,1073,884,2
196,1073,878,2
197,1073,873,2
198,1073,869,2
199,1073,864,2
200,1073,859,2
201,1073,856,2
202,1073,848,2
203,1073,845,2
204,1073,842,2
205,1073,837,2
206,1074,833,2
207,1073,829,2
208,1074,822,2
209,1074,811,2
210,1073,803,2
211,1073,796,2
212,1073,786,2
213,1073,783,2
214,1073,779,2
215,1073,771,2
216,1072,767,2
217,1073,764,2
218,1074,759,2
219,1073,752,2
220,1073,753,2
221,1073,749,2
222,1073,742,2
223,1073,739,2
224,1073,734,2
225,1073,730,2
226,1073,721,2
227,1073,715,2
228,1073,707,2
229,1073,702,2
230,1073,697,2
231,1073,691,2
232,1073,685,2
233,1073,679,2
234,1073,673,2
235,1073,664,2
236,1073,659,2
237,1073,653,2
238,1073,649,2
239,1073,641,2
240,1073,636,2
241,1073,631,2
242,1074,629,2
243,1073,623,2
244,1073,617,2
245,1073,611,2
246,1073,606,2
247,1073,597,2
248,1073,592,2
249,1073,589,2
250,1073,586,2
251,1073,577,2
252,1073,569,2
253,1073,561,2
254,1073,557,2
255,1073,555,2
256,1072,546,2
257,1073,542,2
258,1073,537,2
259,1073,533,2
260,1073,526,2
261,1073,521,2
262,1073,515,2
263,1073,513,2
264,1073,509,2
265,1074,504,2
266,1074,502,2
267,1074,499,2
268,1074,491,2
269,1074,481,2
270,1074,473,2
271,1073,469,2
272,1073,465,2
273,1073,461,2
274,1073,454,2
1,928,795,3
2,928,790,3
3,928,783,3
4,928,781,3
5,928,774,3
6,928,770,3
7,928,766,3
8,928,763,3
9,928,761,3
10,928,759,3
11,928,756,3
12,928,753,3
13,927,749,3
14,928,745,3
15,928,743,3
16,928,741,3
17,928,739,3
18,928,738,3
19,929,735,3
20,929,730,3
21,928,729,3
22,929,728,3
23,929,726,3
24,929,722,3
25,928,720,3
26,929,715,3
27,929,715,3
28,929,712,3
29,929,710,3
30,929,706,3
31,929,702,3
32,929,701,3
33,929,699,3
34,929,695,3
35,929,693,3
36,929,691,3
37,929,687,3
38,929,684,3
39,929,683,3
40,929,681,3
41,929,680,3
42,929,678,3
43,929,677,3
