tframe,y,x,track_no
1,589,5,1
2,590,5,1
3,591,5,1
4,590,5,1
5,590,5,1
6,590,5,1
7,590,5,1
8,590,5,1
9,590,2,1
10,590,2,1
11,589,0,1
12,589,0,1
13,589,2,1
14,589,0,1
17,1083,4,1
18,1083,0,1
19,1083,19,1
20,1083,49,1
21,1083,48,1
22,1083,55,1
23,1083,64,1
24,1083,77,1
25,1083,91,1
26,1083,102,1
27,1083,122,1
28,1084,149,1
29,1083,166,1
30,1083,194,1
31,1083,183,1
32,1083,189,1
33,1083,210,1
34,1083,229,1
35,1083,252,1
36,1084,254,1
37,1084,282,1
38,1083,309,1
39,1083,333,1
40,1083,354,1
41,1083,381,1
42,1083,18,1
43,1083,34,1
44,1083,26,1
45,1084,25,1
46,1084,27,1
47,1084,24,1
48,1083,28,1
49,1085,26,1
50,1084,25,1
51,1083,42,1
52,1082,32,1
53,1083,30,1
54,1083,42,1
55,1084,42,1
56,1083,34,1
57,1084,60,1
58,1083,60,1
59,1083,105,1
60,1083,46,1
61,1084,115,1
62,1083,115,1
63,1081,118,1
64,1083,114,1
65,1082,145,1
66,1081,129,1
67,1082,157,1
68,1082,152,1
69,1082,168,1
70,1082,147,1
71,1082,173,1
72,1082,150,1
73,1082,173,1
74,1082,152,1
75,1081,183,1
76,1082,152,1
77,1082,189,1
78,1082,162,1
79,1081,211,1
80,1082,162,1
81,1081,229,1
82,1082,162,1
83,1082,301,1
84,1082,162,1
85,1082,311,1
86,1082,100,1
87,1082,310,1
88,1083,324,1
89,1082,337,1
90,1082,346,1
91,1081,346,1
92,1081,342,1
93,1081,346,1
94,1081,342,1
95,1082,344,1
96,1081,346,1
97,1081,346,1
98,1082,340,1
99,1082,344,1
100,1081,346,1
101,1081,332,1
102,1081,332,1
103,1081,344,1
104,1081,332,1
105,1081,332,1
106,1081,332,1
107,1081,324,1
108,1081,326,1
109,1081,320,1
110,1081,324,1
111,1081,330,1
112,1081,332,1
113,1081,349,1
114,1081,346,1
115,1081,360,1
116,1081,366,1
117,1081,424,1
118,1081,434,1
119,1081,456,1
120,1082,464,1
121,1081,477,1
122,1081,492,1
123,1081,507,1
124,1081,517,1
125,1081,523,1
126,1081,532,1
127,1081,537,1
128,1081,545,1
129,1082,559,1
130,1081,559,1
131,1081,561,1
132,1081,572,1
134,1081,587,1
135,1081,617,1
136,1082,621,1
137,1082,622,1
138,1082,640,1
139,1081,647,1
140,1082,645,1
141,1082,659,1
142,1082,669,1
143,1082,678,1
144,1082,719,1
145,1082,725,1
146,1083,730,1
147,1083,734,1
148,1083,744,1
149,1082,734,1
150,1083,754,1
151,1082,766,1
152,1083,892,1
153,1082,819,1
154,1083,826,1
155,1083,818,1
156,1083,833,1
157,1083,845,1
158,1083,858,1
159,1083,860,1
160,1083,880,1
161,1083,894,1
162,1083,894,1
163,1083,807,1
164,1083,821,1
165,1083,831,1
166,1084,841,1
167,1083,866,1
169,1083,917,1
170,1083,921,1
171,1083,942,1
172,1083,963,1
173,1083,1008,1
174,1083,1023,1
175,1083,1030,1
176,1083,1059,1
177,1082,1088,1
179,1082,1093,1
180,1081,1119,1
181,1081,1125,1
182,1082,1132,1
183,1081,1144,1
184,1081,1150,1
185,1081,1193,1
187,1081,1233,1
188,1081,1248,1
189,1081,1255,1
190,1082,1263,1
191,1081,1275,1
193,1081,1291,1
194,1081,1292,1
195,1081,1296,1
196,1081,1295,1
197,1081,12,1
1,380,9,2
2,380,9,2
3,380,9,2
4,380,9,2
5,380,9,2
6,381,9,2
7,380,9,2
8,380,9,2
9,381,9,2
10,381,9,2
11,380,8,2
12,381,8,2
15,813,1370,2
16,812,1367,2
18,812,1355,2
19,812,1355,2
20,812,1341,2
21,813,1334,2
22,813,1317,2
23,813,1325,2
24,813,1325,2
25,813,130811,2
26,812,1290,2
27,813,1287,2
28,813,1279,2
29,813,1271,2
30,813,1258,2
31,813,1251,2
32,813,1246,2
33,814,1240,2
34,813,1228,2
35,813,1230,2
36,813,1206,2
37,813,1193,2
38,813,1184,2
39,813,1170,2
40,813,1162,2
41,813,1123,2
42,813,1107,2
43,813,1092,2
44,813,1091,2
45,813,1081,2
46,813,1065,2
47,813,1057,2
48,813,1053,2
49,813,1048,2
50,813,1036,2
51,813,1025,2
52,813,1023,2
54,813,1006,2
55,813,1006,2
56,813,1021,2
57,813,992,2
58,813,987,2
59,813,971,2
60,813,958,2
61,813,945,2
62,813,940,2
63,813,935,2
64,813,931,2
65,813,903,2
66,813,894,2
67,813,882,2
68,813,875,2
69,813,869,2
70,813,857,2
71,813,852,2
72,813,847,2
73,813,839,2
74,813,827,2
75,813,816,2
76,813,805,2
77,813,809,2
78,813,802,2
79,813,794,2
80,813,787,2
81,813,784,2
82,813,780,2
83,813,773,2
84,813,767,2
85,813,754,2
86,813,742,2
87,812,741,2
88,812,736,2
89,813,737,2
90,813,730,2
91,812,730,2
92,812,690,2
94,812,683,2
95,812,676,2
97,812,644,2
100,813,621,2
102,812,608,2
103,812,597,2
104,812,594,2
105,812,581,2
107,868,547,2
108,868,540,2
109,868,537,2
110,868,521,2
111,868,511,2
112,868,511,2
113,868,615,2
114,868,621,2
115,868,624,2
116,868,629,2
117,868,636,2
118,868,659,2
119,868,645,2
120,868,645,2
121,868,632,2
122,868,622,2
123,868,617,2
124,868,615,2
125,868,697,2
126,868,696,2
127,868,686,2
128,868,696,2
129,868,694,2
130,868,689,2
131,866,696,2
132,868,698,2
133,868,696,2
134,868,687,2
135,868,694,2
136,868,687,2
137,868,689,2
138,868,690,2
139,868,690,2
140,868,692,2
141,868,687,2
142,868,692,2
143,868,692,2
144,868,697,2
145,868,694,2
146,868,694,2
147,868,687,2
148,868,692,2
149,868,687,2
150,868,692,2
151,868,699,2
152,868,695,2
153,868,691,2
154,868,697,2
155,868,693,2
156,868,707,2
157,868,719,2
158,868,735,2
159,868,744,2
161,868,811,2
162,868,825,2
163,868,833,2
164,868,845,2
166,868,809,2
167,868,921,2
1,437,6,3
2,437,6,3
3,437,6,3
4,437,6,3
5,437,6,3
6,437,7,3
7,437,7,3
8,437,7,3
9,437,7,3
10,437,7,3
11,437,7,3
12,437,7,3
13,437,7,3
14,437,7,3
15,437,7,3
16,437,7,3
17,437,7,3
18,437,7,3
19,437,7,3
20,437,7,3
21,437,7,3
22,437,7,3
23,437,7,3
24,437,7,3
25,437,7,3
26,437,7,3
27,437,7,3
28,437,7,3
31,299,18,3
32,430,14,3
33,430,14,3
34,430,20,3
35,430,1330,3
36,430,1347,3
37,430,1327,3
38,430,1320,3
39,430,1320,3
40,430,1320,3
41,430,1320,3
42,430,1320,3
43,430,1320,3
44,430,1321,3
45,430,1321,3
46,430,1319,3
47,430,1321,3
48,430,1321,3
49,430,1321,3
50,430,1320,3
51,430,1320,3
52,430,1320,3
53,430,1321,3
54,431,1320,3
55,430,1320,3
56,430,1320,3
57,430,1319,3
58,430,1320,3
59,430,1320,3
60,430,1319,3
61,430,1320,3
62,430,1319,3
63,430,1320,3
64,430,1320,3
65,430,1320,3
66,430,1320,3
67,431,1320,3
68,430,1319,3
69,431,1320,3
70,430,1319,3
71,430,1320,3
72,430,1318,3
73,430,1320,3
74,430,1318,3
75,430,1320,3
76,430,1318,3
77,430,1319,3
78,430,1319,3
79,430,1319,3
80,430,1319,3
81,430,1319,3
82,430,1317,3
83,430,1318,3
84,430,1318,3
85,430,1320,3
86,430,1318,3
87,430,1319,3
88,430,1319,3
89,430,1320,3
90,430,1320,3
91,430,1320,3
92,430,1320,3
93,430,1320,3
94,430,1320,3
95,430,1320,3
96,430,1320,3
97,302,1320,3
98,430,1320,3
99,302,1320,3
100,430,1320,3
101,302,1320,3
102,430,1320,3
103,302,1320,3
104,430,1320,3
105,302,1320,3
