"subtrack_length","mean_displacement","mean_maxdisplacement"
1,3.42832587059152,3.42832587059152
2,6.08556071615823,6.30656768678747
3,8.70278439294142,9.05545182800308
4,11.2804733140696,11.7409241024915
5,13.8085834145634,14.3749738692214
6,16.2788266600178,16.9552582018476
7,18.6761916595549,19.4878432795656
8,21.0096782951553,21.9626458920455
9,23.2892279499153,24.3824852185127
10,25.5153255953633,26.7516948681864
11,27.6907060059266,29.0753146340225
12,29.8123977192602,31.3655390006438
13,31.8946000239116,33.6200962814344
14,33.9170024511227,35.8278652189236
15,35.8883078124623,37.9856727745423
16,37.8284641921565,40.1099743884036
17,39.7118559882578,42.1960753151204
18,41.5400528963102,44.2398698528515
19,43.3363150906826,46.2479047683894
20,45.0987907250823,48.2259691677598
