"subtrack_length","mean_displacement","mean_maxdisplacement"
1,7889.90328866114,7889.90328866114
2,7970.3647042,11952.7977979619
3,8051.9263505452,16096.1038556384
4,8133.45321543324,20318.8606492702
5,8215.3261277153,24622.2627158759
6,8297.60449856674,29006.9120493246
7,8380.56704363979,33474.8787057542
8,8463.0098890259,38021.8620804099
9,8544.15119266249,42642.6132961398
10,8625.05421615303,47341.4655069973
11,8705.18298174047,52115.1189748638
12,8784.01698312587,56959.2133187841
13,8861.69426113522,61871.20560404
14,8938.72566256202,66855.1875050216
15,9016.09425622592,71917.3749946341
16,4600.27481026437,72550.4901155919
17,4638.69681065184,73174.8229774801
18,4676.94592443675,73797.5021158981
19,4715.00816142857,74418.1826234693
20,4752.77360535796,75036.5290567538
