"subtrack_length","mean_displacement","mean_maxdisplacement"
1,6.11317387355334,6.11317387355334
2,9.63156703385077,10.5044998527895
3,13.833333985262,14.7617832160132
4,17.4620397735261,18.8182559231921
5,21.3104516488418,22.7875035301733
6,24.8806890527778,26.6536281616699
7,28.4969675700702,30.424970173902
8,31.9202410789647,34.116328978993
9,35.3546195833629,37.723884195884
10,38.6482167570857,41.242981935498
11,41.9124132890883,44.6823152104137
12,45.0489725722733,48.058031365647
13,48.1556968752598,51.3718030263556
14,51.203048525606,54.6488115188732
15,54.2330464583766,57.868750510806
16,57.1633122509052,61.0189184437067
17,60.0829535477069,64.1293147735206
18,62.9319712667067,67.2026328795332
19,65.7281144672372,70.2114916648481
20,68.4580291163189,73.183578436962
