"subtrack_length","mean_displacement","mean_maxdisplacement"
1,72.9873505480214,72.9873505480214
2,80.1878227661709,112.836050585505
3,87.1719552838807,152.534168103585
4,93.9856454804046,192.236661340853
5,100.025271374835,231.515855302469
6,105.986000394015,270.848969890929
7,111.832435091474,310.233185085649
8,117.612326785517,349.686196205519
9,123.554720145584,389.236728038667
10,129.32019039685,428.817977078293
11,135.060737118807,468.480386120833
12,140.699915070467,508.216295616689
13,146.314751921644,548.051901647997
14,151.851179793695,587.986531629705
15,157.31737382283,628.009615304973
16,162.728025992573,668.146392704938
17,168.035045139284,708.381778318853
18,173.289607680184,748.720447589738
19,178.45700629303,789.149214052312
20,183.532047667817,829.666636103045
