"subtrack_length","mean_displacement","mean_maxdisplacement"
1,704662.388526868,704662.388526868
2,711853.153244539,1067772.65014315
3,718999.025941187,1437949.1916509
4,726058.667079179,1815072.89259239
5,733148.494311344,2199338.62905175
6,740193.820753037,2590527.57738634
7,747264.361987364,2988846.64789066
8,754228.781426711,3393786.62653507
9,760976.820615874,3804568.49645373
10,767642.809103805,4221653.9826415
11,774387.78013214,4645861.87689407
12,781160.140794297,5077036.55488559
13,787975.462361558,5515229.43125477
14,794599.995942267,5958859.09103221
15,801257.557303365,6409313.98046605
16,807981.095818794,6866996.76866241
17,814729.445543272,7331606.57319006
18,821497.090025467,7803161.47526422
19,828231.16572645,8281199.65736229
20,835091.333565562,8767148.65054865
