"subtrack_length","mean_displacement","mean_maxdisplacement"
1,84.0752731088744,84.0752731088744
2,87.7355593184738,128.166808003033
3,91.1211982703297,172.557184804099
4,94.7653819250079,217.439420251785
5,98.2085789119278,262.843229410632
6,101.664597904852,308.802957542074
7,105.067727222338,355.318931595768
8,108.287608822917,402.281411687085
9,111.513370497495,449.711914253539
10,114.585125552579,497.646306436787
11,117.606374622797,546.071595743553
12,120.628938851495,594.961775361461
13,123.548765715479,644.316581323047
14,95.013044102296,662.852512661305
15,97.5878110843584,681.512777563367
16,100.185134990673,700.339223176619
17,102.704910627605,719.273265910125
18,105.088701257447,738.311406227655
19,107.518279996989,757.482995828207
20,109.843957047001,776.738991605808
