"subtrack_length","mean_displacement","mean_maxdisplacement"
1,3.42831674228192,3.42831674228192
2,5.96481510583273,6.2406801526776
3,8.48057755424479,8.90540276640556
4,10.9021213672798,11.4792803021443
5,13.2868813355171,13.9893480748773
6,15.615458955015,16.4410416341903
7,17.8915014992176,18.837980123877
8,20.1061114245559,21.1808752395605
9,22.2835847343167,23.479931515983
10,24.4124806217338,25.7340370533242
11,26.4945982608924,27.9439159446149
12,28.5295908511499,30.118232296805
13,30.5360243217072,32.2603977377064
14,32.4968261243614,34.3646767346186
15,34.4213342758087,36.4394696857312
16,36.3111686927015,38.4833016947846
17,38.1633674189212,40.4928156746151
18,39.9880453903718,42.4775941468664
19,41.7795645454317,44.42988008389
20,43.541852626874,46.3480632075839
