"subtrack_length","mean_displacement","mean_maxdisplacement"
1,8.40578224402293,8.40578224402293
2,10.1933478612157,12.5308877213482
3,14.9051479104718,16.8166249862093
4,18.1805952208386,20.8339330658946
5,22.2648569070268,24.8305992418198
6,25.7194873528804,28.6955960761246
7,29.4019150020276,32.4305459543153
8,32.7150239884226,36.0404280739977
9,36.0317321448325,39.4832038690717
10,39.1057422928585,42.8016135342436
11,42.0775650526465,45.9472324080089
12,44.9483473606835,49.0310162409712
13,47.7284163723243,52.0061150326829
14,50.4139179119233,54.8983973077635
15,52.9805110573936,57.6714311756396
16,55.4164436207929,60.3255240047226
17,57.7654171701293,62.8975363517571
18,59.9916326866689,65.3551852002721
19,62.1524644221457,67.7452113479237
20,64.2084553603129,70.0353654013808
