"subtrack_length","mean_displacement","mean_maxdisplacement"
1,163.278098048838,163.278098048838
2,172.164538669331,249.391169048322
3,180.570012523845,335.434357507577
4,188.787144055223,421.597898248341
5,196.821598043996,507.989870562242
6,204.762395134155,594.653921043317
7,212.561590919833,681.585276192818
8,220.135858556394,768.740576175573
9,227.600938290575,856.147194036738
10,234.919216187182,943.776572082783
11,242.081690478742,1031.69434151225
12,249.162420557473,1119.9267128644
13,256.058853553298,1208.43525492191
14,262.880414566212,1297.27648335202
15,269.482807770948,1386.34765514037
16,276.038361493599,1475.77931770568
17,282.575624976014,1565.57819874026
18,288.876769581122,1655.56187683329
19,293.033387313823,1743.65611089226
20,299.281458727981,1832.06893520487
