"subtrack_length","mean_displacement","mean_maxdisplacement"
1,306134.895287401,306134.895287401
2,306930.113369005,460397.346455053
3,307756.677861522,615467.346420629
4,308561.381480869,771347.263807968
5,309397.87684172,928049.295140678
6,310214.358043749,1085574.70238744
7,311052.871550168,1243934.33235144
8,311881.202892715,1403134.30701053
9,312727.172188219,1563181.87969144
10,313560.101510477,1724077.06199725
11,314411.615775002,1885833.35059593
12,315261.210499233,2048457.33917776
13,316120.76089856,2211956.43830067
14,316967.401647632,2376329.06589295
15,317842.31532625,2541591.06339966
16,318707.828605612,2707749.20891857
17,319584.77843699,2874809.63326504
18,320462.888309905,3042780.41553457
19,321348.451545942,3211669.9494228
20,322235.058119684,3381485.73460053
