"subtrack_length","mean_displacement","mean_maxdisplacement"
1,20.6535003581511,20.6535003581511
2,40.3989805678255,40.6448973470766
3,60.0826013714993,60.4885503779038
4,79.6261717024828,80.1854033789822
5,99.0008127891885,99.7264268238127
6,118.1912461579,119.115684978211
7,137.184132499002,138.349563007341
8,156.012840587879,157.433954034291
9,174.67240942815,176.377892007924
10,193.185932580489,195.195988704949
11,211.531568681738,213.870275502351
12,229.764852973964,232.413031580655
13,247.882968007244,250.857844743931
14,265.887522118016,269.187826028814
15,283.786725682608,287.416846216485
16,301.59770282494,305.546288469303
17,319.33643851256,323.587626309102
18,336.961601333864,341.50674595298
19,354.487388256626,359.329592038307
20,371.92028320684,377.067616000449
