"subtrack_length","mean_displacement","mean_maxdisplacement"
1,7.15230672989252,7.15230672989252
2,13.8574565498707,13.9918621183602
3,20.5187544483744,20.7562564395162
4,27.1379375086713,27.4603524597896
5,33.7113702062697,34.1240169456408
6,40.2573767473549,40.7601650033027
7,46.7506573092576,47.3645193632868
8,53.2015318221011,53.9338546137546
9,59.6158879946615,60.4651267665917
10,66.0054673882818,66.9810576352418
11,72.3599214518676,73.4510507706892
12,78.6843063030184,79.8904437565433
13,84.9625962667586,86.2918937449144
14,91.17412374989,92.6510742165947
15,97.3398362785141,98.9763094746865
16,103.485203847853,105.287029381044
17,109.616227346469,111.561559194878
18,115.719453164682,117.808590436467
19,121.808950962325,124.01201103893
20,127.878977683336,130.197178315335
