"subtrack_length","mean_displacement","mean_maxdisplacement"
1,8.16381643131647,8.16381643131647
2,15.9677898028118,16.0790879413589
3,23.6901840538863,23.8958872824124
4,31.3151345292618,31.6226921134345
5,38.8250052020469,39.2574461052914
6,46.2227989982102,46.8019783917372
7,53.4977860135184,54.2515612588366
8,60.6506626823243,61.604227204867
9,67.6783412699783,68.863843318819
10,74.5967011751445,76.0354498387121
11,81.4063424830859,83.1185440920101
12,88.1096475859238,90.1165094172671
13,94.7164058365556,97.0368405907701
14,101.235174786842,103.877679404653
15,107.676189133268,110.640833688626
16,114.060906850104,117.341802008404
17,120.391414609903,123.979214979158
18,126.675821793856,130.557755404683
19,132.920962739395,137.080525186811
20,139.132312429963,143.556482553205
